Country,Year,Metric,Classification,Value
Andorra,2013,Population,Total,76246
Andorra,2016,Population,Total,71732
Andorra,2018,Population,Total,74794
Andorra,2019,Population,Total,76177
Andorra,2020,Population,Total,77543
Andorra,2022,Population,Total,79535
Andorra,2023,Population,Total,81588
Andorra,2024,Population,Total,85101
Albania,2013,Population,Total,2897770
Albania,2014,Population,Total,2892394
Albania,2015,Population,Total,2885796
Albania,2016,Population,Total,2875592
Albania,2017,Population,Total,2876591
Albania,2018,Population,Total,2870324
Albania,2019,Population,Total,2862427
Albania,2020,Population,Total,2845955
Albania,2021,Population,Total,2829741
Albania,2022,Population,Total,2793592
Albania,2023,Population,Total,2761785
Armenia,2013,Population,Total,3026878
Armenia,2014,Population,Total,3017079
Armenia,2015,Population,Total,3010598
Armenia,2016,Population,Total,2998577
Armenia,2017,Population,Total,2986151
Armenia,2018,Population,Total,2972732
Armenia,2019,Population,Total,2965269
Armenia,2020,Population,Total,2959694
Armenia,2021,Population,Total,2963251
Armenia,2023,Population,Total,2977130
Armenia,2024,Population,Total,2991202
Austria,2013,Population,Total,8451860
Austria,2014,Population,Total,8507786
Austria,2015,Population,Total,8584926
Austria,2016,Population,Total,8700471
Austria,2017,Population,Total,8772865
Austria,2018,Population,Total,8822267
Austria,2019,Population,Total,8858775
Austria,2020,Population,Total,8901064
Austria,2021,Population,Total,8932664
Austria,2022,Population,Total,8978929
Austria,2023,Population,Total,9104772
Austria,2024,Population,Total,9158750
Azerbaijan,2013,Population,Total,9356483
Azerbaijan,2014,Population,Total,9477119
Azerbaijan,2015,Population,Total,9593038
Azerbaijan,2016,Population,Total,9705643
Azerbaijan,2017,Population,Total,9809981
Azerbaijan,2018,Population,Total,9898085
Azerbaijan,2019,Population,Total,9981457
Azerbaijan,2020,Population,Total,10067108
Azerbaijan,2021,Population,Total,10119133
Azerbaijan,2022,Population,Total,10156366
Azerbaijan,2023,Population,Total,10127145
Azerbaijan,2024,Population,Total,10180770
Belgium,2013,Population,Total,11137974
Belgium,2014,Population,Total,11180840
Belgium,2015,Population,Total,11237274
Belgium,2016,Population,Total,11311117
Belgium,2017,Population,Total,11351727
Belgium,2018,Population,Total,11398589
Belgium,2019,Population,Total,11455519
Belgium,2020,Population,Total,11522440
Belgium,2021,Population,Total,11554767
Belgium,2022,Population,Total,11617623
Belgium,2023,Population,Total,11742796
Belgium,2024,Population,Total,11832049
Bulgaria,2013,Population,Total,7202556
Bulgaria,2014,Population,Total,7117453
Bulgaria,2015,Population,Total,7029690
Bulgaria,2016,Population,Total,6938759
Bulgaria,2017,Population,Total,6849518
Bulgaria,2018,Population,Total,6757418
Bulgaria,2019,Population,Total,6664177
Bulgaria,2020,Population,Total,6569275
Bulgaria,2021,Population,Total,6532117
Bulgaria,2022,Population,Total,6482484
Bulgaria,2023,Population,Total,6447710
Bulgaria,2024,Population,Total,6445481
Belarus,2013,Population,Total,9463840
Belarus,2014,Population,Total,9468154
Belarus,2015,Population,Total,9480868
Belarus,2016,Population,Total,9498364
Belarus,2017,Population,Total,9504704
Belarus,2018,Population,Total,9491823
Belarus,2019,Population,Total,9475174
Belarus,2020,Population,Total,9408350
Switzerland,2013,Population,Total,8039060
Switzerland,2014,Population,Total,8139631
Switzerland,2015,Population,Total,8237666
Switzerland,2016,Population,Total,8327126
Switzerland,2017,Population,Total,8419550
Switzerland,2018,Population,Total,8484130
Switzerland,2019,Population,Total,8544527
Switzerland,2020,Population,Total,8606033
Switzerland,2021,Population,Total,8670300
Switzerland,2022,Population,Total,8738791
Switzerland,2023,Population,Total,8815385
Switzerland,2024,Population,Total,8960800
Cyprus,2013,Population,Total,865878
Cyprus,2014,Population,Total,858000
Cyprus,2015,Population,Total,847008
Cyprus,2016,Population,Total,848319
Cyprus,2017,Population,Total,854802
Cyprus,2018,Population,Total,864236
Cyprus,2019,Population,Total,875899
Cyprus,2020,Population,Total,888005
Cyprus,2021,Population,Total,896007
Cyprus,2022,Population,Total,904705
Cyprus,2023,Population,Total,920701
Cyprus,2024,Population,Total,933505
Czechia,2013,Population,Total,10516125
Czechia,2014,Population,Total,10512419
Czechia,2015,Population,Total,10538275
Czechia,2016,Population,Total,10553843
Czechia,2017,Population,Total,10578820
Czechia,2018,Population,Total,10610055
Czechia,2019,Population,Total,10649800
Czechia,2020,Population,Total,10693939
Czechia,2021,Population,Total,10494836
Czechia,2022,Population,Total,10516707
