Country,Year,Patents
Albania,2009,1.0
Albania,2010,0.0
Albania,2011,0.0
Albania,2012,0.0
Albania,2013,0.0
Albania,2014,3.0
Albania,2015,0.0
Albania,2016,2.0
Albania,2017,0.0
Albania,2018,0.0
Albania,2019,2.0
Albania,2020,0.0
Albania,2021,3.0
Albania,2022,7.0
Albania,2023,8.0
Austria,2004,1000.0
Austria,2005,1053.0
Austria,2006,1146.0
Austria,2007,1382.0
Austria,2008,1503.0
Austria,2009,1496.0
Austria,2010,1744.0
Austria,2011,1734.0
Austria,2012,1874.0
Austria,2013,1993.0
Austria,2014,1964.0
Austria,2015,1989.0
Austria,2016,2024.0
Austria,2017,2209.0
Austria,2018,2281.0
Austria,2019,2346.0
Austria,2020,2306.0
Austria,2021,2309.0
Austria,2022,2381.0
Austria,2023,2355.0
Belgium,2004,1493.0
Belgium,2005,1658.0
Belgium,2006,1842.0
Belgium,2007,1898.0
Belgium,2008,1899.0
Belgium,2009,1629.0
Belgium,2010,2045.0
Belgium,2011,2014.0
Belgium,2012,1886.0
Belgium,2013,1882.0
Belgium,2014,1927.0
Belgium,2015,2041.0
Belgium,2016,2211.0
Belgium,2017,2152.0
Belgium,2018,2348.0
Belgium,2019,2422.0
Belgium,2020,2406.0
Belgium,2021,2480.0
Belgium,2022,2603.0
Belgium,2023,2547.0
Bulgaria,2004,16.0
Bulgaria,2005,11.0
Bulgaria,2006,12.0
Bulgaria,2007,16.0
Bulgaria,2008,15.0
Bulgaria,2009,19.0
Bulgaria,2010,11.0
Bulgaria,2011,16.0
Bulgaria,2012,13.0
Bulgaria,2013,23.0
Bulgaria,2014,34.0
Bulgaria,2015,33.0
Bulgaria,2016,20.0
Bulgaria,2017,32.0
Bulgaria,2018,31.0
Bulgaria,2019,35.0
Bulgaria,2020,54.0
Bulgaria,2021,43.0
Bulgaria,2022,46.0
Bulgaria,2023,40.0
Switzerland,2004,4663.0
Switzerland,2005,5027.0
Switzerland,2006,5503.0
Switzerland,2007,5871.0
Switzerland,2008,5942.0
Switzerland,2009,5887.0
Switzerland,2010,6864.0
Switzerland,2011,6553.0
Switzerland,2012,6746.0
Switzerland,2013,6742.0
Switzerland,2014,6910.0
Switzerland,2015,7116.0
Switzerland,2016,7302.0
Switzerland,2017,7354.0
Switzerland,2018,7961.0
Switzerland,2019,8266.0
Switzerland,2020,8125.0
Switzerland,2021,8504.0
Switzerland,2022,9160.0
Switzerland,2023,9410.0
Cyprus,2004,20.0
Cyprus,2005,35.0
Cyprus,2006,47.0
Cyprus,2007,42.0
Cyprus,2008,56.0
Cyprus,2009,42.0
Cyprus,2010,49.0
Cyprus,2011,55.0
Cyprus,2012,56.0
Cyprus,2013,41.0
Cyprus,2014,44.0
Cyprus,2015,39.0
Cyprus,2016,36.0
Cyprus,2017,49.0
Cyprus,2018,49.0
Cyprus,2019,48.0
Cyprus,2020,65.0
Cyprus,2021,42.0
Cyprus,2022,43.0
Cyprus,2023,53.0
Czechia,2004,84.0
Czechia,2005,73.0
Czechia,2006,82.0
Czechia,2007,96.0
Czechia,2008,110.0
Czechia,2009,135.0
Czechia,2010,167.0
Czechia,2011,162.0
Czechia,2012,140.0
